job name,job level,company name,city,area,country,skills
Training Manager,Mid-Senior level,Marriott Hotels,Batam Centre,Riau,Indonesia,Customer Service+Development Programs+Guest Relations+Guest Satisfaction+Human Resources (HR)+Training+Training Courses+Training Management
Medical Representative – Batam,Associate,AstraZeneca,Batam,Riau Islands,Indonesia,Budgeting+Building Long-term Relationships+Business Networking+Communication+Market Access+Medical Sales+Presentations+Sales+Sales Management+Sales Performance
Solutions Architect,Mid-Senior level,Space Executive,,Jakarta,Indonesia,DevOps+Alibaba Cloud+Cloud Computing+Communication+Databases+IT Integration+IT Solutions+Presentation Skills+Software Development+Solution Architecture
Solution Architect (Indonesia),Mid-Senior level,Xtremax,Bandung,West Java,Indonesia,Cloud Computing+Cloud Development+Communication+Computer Engineering+Computer Science+Information Technology+SharePoint+SharePoint Server+Solution Architecture+Windows Server
Wellness Counselor,Associate,Gear Inc.,Surabaya,East Java,Indonesia,Cognitive Behavioral Therapy (CBT)+Communication+Crisis Intervention+Employee Relations+English+Microsoft Excel+Microsoft PowerPoint+Microsoft Word+Motivational Interviewing+Psychology
Routing Specialist - Jakarta,,8x8,,Jakarta Metropolitan Area,,Analytical Skills+Carrier Relationships+Communication+Doer+English+IT Escalation+Interpersonal Skills+Operations Processes+Problem Solving+SMS
Cloud Solutions Development Specialist,Mid-Senior level,Ingram Micro,,Jakarta,Indonesia,Cybersecurity+Network Security+Account Management+Cloud Computing+Demand Generation+Firewalls+Go-to-Market Strategy+Interpersonal Communication+Market Intelligence+Marketing
Senior Product Manager - Sanctions Platform,Mid-Senior level,Gojek,Jakarta,Jakarta,Indonesia,Analytical Skills+Change Impact Analysis+Communication+Customer Satisfaction+Product Management+Product Requirement Definition+Product Road Mapping+Product Strategy+Quantitative Analytics+User Experience (UX)
Sea Logistics Requirement Engineering + Systems Support Expert ( Jkt ZS-MS ),Associate,Kuehne+Nagel,Jakarta,Jakarta,Indonesia,Action Planning+Enterprise Solution Design+Operational Excellence+Process Auditing+Process Excellence+Root Cause+Root Cause Analysis+Software Solutions+System Testing+Technical Solution Design
Manager, Product Creation Footwear, Sportswear,,adidas,Jakarta,Jakarta,Indonesia,Commercially driven+Footwear+Marketing Analytics+Numeracy+Presentations+Product Knowledge+Product Marketing+T1+T2+Target Costing
Complex English Teacher,Entry level,The Ritz-Carlton Hotel Company, L.L.C.,Jakarta,Jakarta,Indonesia,Business English+English Teaching+English as a Second Language (ESL)+Job Aids+Language Teaching+Learning Strategies+Needs Assessment+Teaching English as a Foreign Language+Teaching English as a Second Language+Writing
Part-time Montessori Teacher BATAM area,,Kid's Club Indonesia,Batam,Riau Islands,Indonesia,Analytical Skills+D3.js+Negotiation+Non-Governmental Organizations (NGOs)+Teacher Training+Teaching
Operation Specialist (HAGO Voice Streaming),Internship,JOYY Inc.,Jakarta,Jakarta,Indonesia,Broadcasting+Communication+English+Entertainment+Live Streaming+Operational Strategy+Operations+Strategy+Team Spirit
AsstMgr-Security,Entry level,Le Méridien Hotels & Resorts,Jimbaran,Bali,Indonesia,Customer Satisfaction+Emergency Procedures+Fire Prevention+GED+Job Satisfaction+Justice+Prevention+Quality Control+Retail Loss Prevention+Security Management
Learning & Development Manager,Mid-Senior level,Marriott Hotels,Medan,North Sumatra,Indonesia,Development Programs+Employee Learning & Development+Employee Training+Financial Results+Guest Relations+Guest Satisfaction+Hospitality Industry+Human Resources (HR)+Restaurant Management+Training Courses
Client Engineering - Cloud (Graduate),,IBM,,Jakarta Metropolitan Area,,Java+Node.js+Python (Programming Language)+Communication+Computer Science+Design Thinking+High Performance Computing (HPC)+Model-View-Presenter (MVP)+Software Sales+TypeScript
Client Engineering - Cloud (Graduate),,IBM,,Jakarta Metropolitan Area,,Java+Node.js+Python (Programming Language)+Communication+Computer Science+Design Thinking+High Performance Computing (HPC)+Model-View-Presenter (MVP)+Software Sales+TypeScript
IT Administrator-Volunteer (Open for Students),,SkilledUp Life,,Indonesia,,Communication+English
Partner Technical Specialist - Automation (Graduate),,IBM,,Jakarta Metropolitan Area,,Cloud Foundry+Co-creation+Communication+Computer Science+Foundry Management+Kubernetes+Presales+Product Demonstration+Software Sales+Technical Sales
VP/Dealmaker,Executive,Corum Group Ltd.,,Indonesia,,Communication+Deal Closure+Due Diligence+English+Mergers & Acquisitions (M&A)+Organization Skills+Public Speaking+Relationship Building+Sales Processes+Time Management
Quality Engineer,Entry level,Jabil,,West Java,Indonesia,Corrective Actions+Quality Assurance+Quality Control+Quality Engineering
Partner Technical Specialist - Automation (Graduate),,IBM,,Jakarta Metropolitan Area,,Cloud Foundry+Co-creation+Communication+Computer Science+Foundry Management+Kubernetes+Presales+Product Demonstration+Software Sales+Technical Sales
Student Recruitment Manager, Indonesia,Associate,Navitas,Surabaya,West Java,Indonesia,Channel Partners+Communication+Critical Thinking+Digital Marketing+International Recruitment+Media Marketing+Negotiation+Recruiting+Relationship Building+Student Recruiting
Huawei Engineer Bootcamp (Datacomm / Storage),Entry level,PT. Metrodata Electronics Tbk.,Jakarta,Jakarta,Indonesia,Communication+Computer Science+Git+Microsoft SQL Server+Network-Attached Storage (NAS)+Packet Switching+Teamwork
Global Graduate Programme - Human Resource,Internship,BAT,Jakarta,Jakarta,Indonesia,Analytical Skills+Coaching+Communication+Employee Relations+Human Resources (HR)+International Relations+Interpersonal Skills+Negotiation+Psychology+Talent Management
AM - Client Onboard Analyst - Hybrid,,Citi,Jakarta,Jakarta,Indonesia,Bank Account Maintenance+Client Onboarding+Client Requirements+Communication+Customer Interaction+Customer Satisfaction+Interpersonal Skills+Onboarding+Service Levels+Service-Level Agreements (SLA)
Data Engineer,,Nityo Infotech,,Jakarta,Indonesia,Application Security+Big Data+Cyber-security+Data Architecture+Data Cleaning+Data Engineering+Data Integration+Data Profiling+Data Security+Data Visualization
Academic Teacher,Entry level,Schoters,,Jakarta Metropolitan Area,,Biology+Economics+English+French+IELTS+Japanese+Mathematics+Physics+TOEIC+Teaching
Low Carbon Development Analyst - Indonesia,Mid-Senior level,Tetra Tech,,Jakarta Metropolitan Area,,Carbon+Cash Collection+Communication+Electrification+Energy Policy+Low Carbon+Policy Writing+Quality Assurance+Quality Control+System Monitoring
SOC Analyst (L1),Full-time,Nawatech,Tangerang Selatan,Banten,Indonesia,Analytical Skills+Communication+Cyber Threat Hunting (CTH)+Dashboards+Interpersonal Skills+Problem Solving+Quantification+Report Preparation+Security Operations+Vulnerability Management
System Engineer - HPE Aruba Networking,,HPE Aruba Networking,Jakarta,Jakarta,Indonesia,System Administration+Analytical Skills+Internet Protocol Suite (TCP/IP)+Networking+SQL+Systems Engineering+Technical Support+Troubleshooting
Partner Technical Specialist - Storage (Graduate),,IBM,,Jakarta Metropolitan Area,,Cloud Foundry+Co-creation+Communication+Computer Science+Container Orchestration+Foundry Management+Presales+Product Demonstration+Software Sales+Technical Sales
Technical Consultant,Mid-Senior level,Tech Data APAC​,,Jakarta Metropolitan Area,,Domain Name System (DNS)+Internet Protocol Suite (TCP/IP)+Intranet+Networking Technology+Presales Technical Support+Presentations+Product Demonstration+Qualifying Opportunities+Routers+Transmission Control Protocol (TCP)
Information Technology Infrastructure Engineer,Mid-Senior level,McEasy,,Jakarta Metropolitan Area,,Network Security+Firewalls+Information Technology Infrastructure+LAN-WAN+Local Area Network (LAN)+Mikrotik+Network Infrastructure+Networking+Troubleshooting+Wide Area Network (WAN)
IT Support Officer,Entry level,Purwadhika Digital Technology School,,Jakarta Metropolitan Area,,Communication+Computer Hardware+Computer Science+Emerging Technologies+Help Desk Support+Mac+Printers+Service Desk+Technical Support+Troubleshooting
IT Internship,Internship,Education One,Denpasar,Bali,Indonesia,Cascading Style Sheets (CSS)+C#+Communication+Information Technology+Linux+Networking+Programming+Sociability+Teamwork+Technical Support
Intern - Sourcing (Madiun),Sporting Goods,adidas,Jakarta,Jakarta,Indonesia,Analytical Skills+Command+Data Storage+English+Human Resources (HR)+Interviewing+Procurement+Purchasing+Sourcing+Strategic Sourcing
Desktop Support,Entry level,NTT Ltd.,Jakarta,Jakarta,Indonesia,Aging Reports+Attention to Detail+Communication+Computer Repair+Desktop Support+Focussed+Help Desk Support+Service Desk+Technical Support+Written Communication
Learning Analyst Intern - Kompas TV,Internship,KOMPAS GRAMEDIA,West Jakarta,Jakarta,Indonesia,Analytical Skills+Communication+Manufacturing Process Improvement+Microsoft Excel+Microsoft Office+Microsoft PowerPoint+Negotiation+Psychology+Research Skills+Team Leadership
ML/AI Engineer,Entry level,Turing,,Indonesia,,Artificial Intelligence (AI)+Communication+Computer Science+Convolutional Neural Networks (CNN)+Data Science+Deep Learning+English+Machine Learning+Natural Language Processing (NLP)+Pattern Recognition
Zoom Operation Intern (Remote),Entry level,Arkademi,,Jakarta Metropolitan Area,,Analytical Skills+Communication+Coordinating Schedules+Critical Thinking+Interpersonal Skills+Operations+Organization Skills+Problem Solving+Research Skills+Schedule Planning
Python Instructor (Part-time),Associate,Hacktiv8 Indonesia,Jakarta,Jakarta,Indonesia,Python (Programming Language)+Analytical Skills+Communication+Data Analysis+Data Analytics+Learning Styles+Programming+Research Skills+Teaching+Training
Fraud Jr Specialist,,tiket.com,,Jakarta Metropolitan Area,,Analytical Skills+Attention to Detail+Communication+Computer Literacy+Credit Card Fraud Prevention+Credit Cards+Data Analysis+Data Analytics+English+Problem Solving
Asset Management - Internship,Associate,BNP Paribas Asset Management,Jakarta,Jakarta,Indonesia,Analytical Skills+Capital Market Operations+English+Financial Instruments+Negotiation
AML Compliance Analyst,Entry level,Manulife,Jakarta,Jakarta,Indonesia,Analytical Skills+Anti-Money Laundering+Attention to Detail+U.S. Foreign Account Tax Compliance Act (FATCA)
Full Stack Software Engineer,,SLB,,Jakarta Metropolitan Area,,Amdocs CRM+Angular+Back-End Web Development+Front-End Development+Functionality+MongoDB+PostgreSQL+Subject Matter Experts+User Stories+Vue.js
High School Mathematics Teacher,,Stella Gracia School,Pekanbaru,Riau,Indonesia,Algebra+Classroom Instruction+Communication+Curriculum Development+English+Geometry+Interpersonal Communication+Lesson Planning+Mathematics
Yoga & Gym Instructor,Mid-Senior level,The Ritz-Carlton Hotel Company, L.L.C.,Lannyna,Papua,Indonesia,Coaching+Communication+Fitness Industry+Fitness Instruction+Fitness Training+Personal Training+Sports Coaching
Lecturer,Associate,Universitas Padjadjaran,Jatinangor,West Java,Indonesia,Amazon S3+IELTS+PIP+TOEFL+The Self Diagnosis Method (SDM)+Third Party Administration+University Lecturing+User Interface Design
Health Club Instructor - Grand Hyatt Jakarta ,Mid-Senior level,Grand Hyatt,Jakarta,Jakarta,Indonesia,Branding+Coaching+Communication+Corporate Strategy+Equipment Maintenance+Interpersonal Skills+STAR+Service Orientation (Social)+Teaching+Teamwork
Lecturer in Informatics - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Communication+Communication Training+Computer Science+English+IELTS+Information Technology+Information and Communications Technology (ICT)+Teaching+Teamwork+University Teaching
Data Science Tutor,,Practicum USA,,Indonesia,,Python (Programming Language)+A/B Testing+Data Science+English+Matplotlib+Moderating+NumPy+Pandas (Software)+Plotly+SQL
Japanese Tutor,Entry level,Schoters,,Jakarta Metropolitan Area,,Japanese+Japanese Language Proficiency Test+Literature+Marking+Teaching+Translation
Biology Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Biology+SMA+TOEFL+Teaching
TikTok E-commerce - Global Trainer,,TikTok,Jakarta,Jakarta,Indonesia,Booklets+Customer Satisfaction+Daily Reports+Development Programs+Facilitation+Interpersonal Communication+Product Knowledge+Technical Specs+Training Delivery+Training Plans
Lecturer in Information System - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Android+Android Development+Android Studio+Communication+English+IELTS+Information and Communications Technology (ICT)+Statutory Accounting Principles (SAP)+Teaching+University Teaching
Lecturer in Computer Engineering - Universitas Multimedia Nusantara,Mid-Senior level,KOMPAS GRAMEDIA,Tangerang,Banten,Indonesia,Communication+Communication Training+Computer Engineering+English+IELTS+Information Technology+Information and Communications Technology (ICT)+Signal+Teaching+University Teaching
Web Development Lecturer - BSD,Mid-Senior level,Purwadhika Digital Technology School,Tangerang,Banten,Indonesia,JavaScript+Agile Software Development+Critical Thinking+ECMAScript+Query Languages+React.js+Rendering+SASS+Search Engine Optimization (SEO)+Server Side
Professor De Enfermagem De Ensino Superior,Mid-Senior level,Divulga Vagas,Natal,North Sumatra,Indonesia,Curriculum Development+Higher Education+Nursing+Nursing Education+Patient Advocacy+Teaching
Conferente De Carga E Descarga - Indústria De Panificação (Parnamirim/RN),Mid-Senior level,RH Ser Consultoria Empresarial,Natal,North Sumatra,Indonesia,Christmas+Communication+Computer Literacy+Easily Adaptable+Inventory Control+Procedural Programming+Spreadsheets+Stock Control+Teamwork+Unloading
UI/UX Lecturer - Surabaya,Entry level,Purwadhika Digital Technology School,Surabaya,East Java,Indonesia,Analytical Skills+Communication+Concept Generation+Technology Trends+Usability+Usability Testing+User Experience (UX)+User Experience Design (UED)+User Interface Design+User Research
High School Mathematics Teacher,,Stella Gracia School,Pekanbaru,Riau,Indonesia,Algebra+Classroom Instruction+Communication+Curriculum Development+English+Geometry+Interpersonal Communication+Lesson Planning+Mathematics
Data Science Tutor,,Practicum USA,,Indonesia,,Python (Programming Language)+A/B Testing+Data Science+English+Matplotlib+Moderating+NumPy+Pandas (Software)+Plotly+SQL
Developer Advocate (Staff/Lead Level) (Bangkok based, relocation provided),Mid-Senior level,Agoda,,Bali,Indonesia,Java+C (Programming Language)+C#+Kotlin+Objective-C+Presentations+Scala+Software Development+Swift (Programming Language)+Training Videos
Research Assistant - Chinese Speaker,Associate,PT. VIVO MOBILE INDONESIA,North Jakarta,Jakarta,Indonesia,Attention to Detail+Budgeting+Chinese+Chinese to English+English+Finance+Research Skills+Translation
Academic Teacher,Entry level,Schoters,,Jakarta Metropolitan Area,,Biology+Economics+English+French+IELTS+Japanese+Mathematics+Physics+TOEIC+Teaching
Japanese Tutor,Entry level,Schoters,,Jakarta Metropolitan Area,,Japanese+Japanese Language Proficiency Test+Literature+Marking+Teaching+Translation
Biology Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Biology+SMA+TOEFL+Teaching
Customer Success Manager CPaaS,,8x8,,Jakarta Metropolitan Area,,Communication+Consultations+Customer Engagement+Customer Satisfaction+Customer Success+Organization Skills+Problem Solving+Product Adoption+Voice of the Customer+Web Collaboration
Tutor / Training ( Client Manager),Entry level,BSI,Jakarta,Jakarta,Indonesia,British Standards+Communication+ISO 27001+Oral Communication+Quality, Health, Safety, and Environment (QHSE)+Written Communication
Professional Product Owner,Mid-Senior level,Nomura Research Institute Indonesia,,Jakarta,Indonesia,Agile Methodologies+Backlog Management+ClickUp+Cloud Computing+Confluence+Kanban+Scrum+Software as a Service (SaaS)+Team Collaboration
Complex English Teacher,Entry level,The Ritz-Carlton Hotel Company, L.L.C.,Jakarta,Jakarta,Indonesia,Business English+English Teaching+English as a Second Language (ESL)+Job Aids+Language Teaching+Learning Strategies+Needs Assessment+Teaching English as a Foreign Language+Teaching English as a Second Language+Writing
Customer Success Manager,Mid-Senior level,VIDA Digital Identity,Jakarta,Jakarta,Indonesia,Analytical Skills+Communication+Customer Engagement+Customer Experience+Customer Retention+Customer Satisfaction+Customer Success+Internal Communications+Negotiation+Problem Solving
Online Tutor of Digital Arts (Photoshop/Tinkercad/Blender/Figma/Aggie.io) (Remote, Indonesia),,Kodland,,Indonesia,,Adobe Illustrator+Adobe Photoshop+Autodesk Tinkercad+Blender+Graphic Design+Krita+Motion Graphics
Math Teacher,,Sekolah Ciputra,Surabaya,East Java,Indonesia,Communication+Computer Literacy+English+Geometry+IELTS+Lesson Planning+Mathematics+Qualified Teacher+Teacher Training+Teaching
Teacher (Coding Educator),Full-time,BrightCHAMPS,Yogyakarta,Yogyakarta,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Economics Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Economics+Teaching
Teacher (Coding Educator),Full-time,BrightCHAMPS,Bandung,East Java,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Math & Science Teacher,Entry level,Mutiara Harapan Islamic School,Tangerang Selatan,Banten,Indonesia,Biology+Chemistry+Communication+Curriculum+Learning Styles+Mathematics+Science+Science Education+Teaching+Training
Teacher (Coding Educator),Full-time,BrightCHAMPS,Surabaya,East Java,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Mandarin and Japanese Tutor,,Lister Education Pte Ltd,Tangerang,Banten,Indonesia,E-Learning+Education+Google Classroom+Japanese+Language Learning+Learning+Mandarin+Passionate about Work+Teaching+Zoom
ICT Teacher,Associate,Springfield School,,Jakarta Metropolitan Area,,Communication+Computer Science+Curriculum+English+Information Technology+Information and Communications Technology (ICT)+Interpersonal Communication+Lesson Planning+Teaching
Education Counsellor - Australia (Pondok Indah),Mid-Senior level,IDP Education Ltd,Jakarta,Jakarta,Indonesia,Counseling Psychology+English+Visas
Education Counsellor / Consultant (UK) - Bandung,Entry level,IDP Education Ltd,,Greater Bandung,,Counseling Psychology+English
Senior Overseas Study Education Counselor (Manager) Jakarta,Full-time,CIE Central International Education,,Jakarta Metropolitan Area,,Command+English+Max
Overseas Study Education Counselor (Sales/Marketing) Pekanbaru,Full-time,CIE Central International Education,Pekanbaru,Riau,Indonesia,Command+Communication+English+Max
Overseas Study Education Counselor (Sales/Mktg) Solo / Surakarta,,CIE Central International Education,Surakarta,Central Java,Indonesia,Command+Communication+English+Max
Student Counselor Part Time - Onsite,Associate,Hacktiv8 Indonesia,Jakarta,Jakarta,Indonesia,Career Development+Coaching+Communication+Counseling+Counseling Psychology+English+Presentations+Psychology+Student Counseling+Teamwork
Overseas Study Education Counselor (Sales/Marketing) Batam,Full-time,CIE Central International Education,Batam,Riau Islands,Indonesia,Command+English+Max
Senior Overseas Study Education Counselor (Manager) Samarinda,Full-time,CIE Central International Education,Samarinda,East Kalimantan,Indonesia,English+Max
Education Counsellor / Consultant (Australia) - Medan,Mid-Senior level,IDP Education Ltd,,Greater Medan,,Counseling Psychology+English+Visas
Overseas Study Education Counselor (Sales/Marketing) Palembang,Full-time,CIE Central International Education,Palembang,South Sumatra,Indonesia,Communication+Max
Senior Overseas Study Education Counselor (Manager) Semarang,Full-time,CIE Central International Education,Semarang,Central Java,Indonesia,English+Max
Senior Overseas Study Education Counselor (Manager) Manado,Full-time,Cie Central International Education,Manado,North Sulawesi,Indonesia,Command+English+Max
Education Counsellor / Consultant (Australia) - Malang,Mid-Senior level,IDP Education Ltd,,Greater Malang,,Counseling Psychology+English+Visas
Senior Overseas Study Education Counselor (Manager) Makassar,Full-time,Cie Central International Education,Ujung Pandang,South Sulawesi,Indonesia,English+Max
Digital Sales Associate,Entry level,Marriott International,Bintan,Riau Islands,Indonesia,Communication+Customer Satisfaction+Digital Sales+Direct Sales+Online Presence+Sales & Marketing
Salesperson,,Kibarer Property,Denpasar,Bali,Indonesia,Business+Communication+Consultative Approach+Customer Relationship Management (CRM)+Identifying New Opportunities+Negotiation+Oral Communication+Sales+Sales Processes+Sales Target Management
Representative-Sales,Entry level,Marriott Hotels,Manado,North Sulawesi,Indonesia,Sales & Marketing
Academic Teacher,Entry level,Schoters,,Jakarta Metropolitan Area,,Biology+Economics+English+French+IELTS+Japanese+Mathematics+Physics+TOEIC+Teaching
Associate Director of Events Sales - Park Hyatt Jakarta ,Associate,Park Hyatt,Jakarta,Jakarta,Indonesia,Budgeting+Business Ethics+Communication+Corporate Events+Financial Goals+Guest Service+Internal Customers+Luxury+STAR+Weddings
Data Science Tutor,,Practicum USA,,Indonesia,,Python (Programming Language)+A/B Testing+Data Science+English+Matplotlib+Moderating+NumPy+Pandas (Software)+Plotly+SQL
Japanese Tutor,Entry level,Schoters,,Jakarta Metropolitan Area,,Japanese+Japanese Language Proficiency Test+Literature+Marking+Teaching+Translation
Biology Teacher,Associate,CT ARSA FOUNDATION,Purworejo,Central Java,Indonesia,Biology+SMA+TOEFL+Teaching
Application Development Specialist (Semarang),Mid-Senior level,Accenture Southeast Asia,Semarang,Central Java,Indonesia,ABAP+Application Development+Client Services+Development Tools+Learning+Legacy System Migration Workbench (LSMW)+Operations+SAP Script+Technical Specs
Medical Representative – Batam,Associate,AstraZeneca,Batam,Riau Islands,Indonesia,Budgeting+Building Long-term Relationships+Business Networking+Communication+Market Access+Medical Sales+Presentations+Sales+Sales Management+Sales Performance
Solutions Architect,Mid-Senior level,NTT Ltd.,Jakarta,Jakarta,Indonesia,Architecture+Client Requirements+Communication+Customer Engagement+Data Architecture+Industry standards+Needs Assessment+Non-Functional Requirements+Presales Technical Support+Product Demonstration
Wellness Counselor,Associate,Gear Inc.,Surabaya,East Java,Indonesia,Cognitive Behavioral Therapy (CBT)+Communication+Crisis Intervention+Employee Relations+English+Microsoft Excel+Microsoft PowerPoint+Microsoft Word+Motivational Interviewing+Psychology
Solutions Architect,Mid-Senior level,CloudCover, part of ST Telemedia Cloud,,Indonesia,,DevOps+Python (Programming Language)+Amazon Web Services (AWS)+Cloud Computing+Google Cloud Platform (GCP)+Project Management+Solution Architecture+Stakeholder Management+Technical Solution Design+Virtualization
Solutions Architect,Mid-Senior level,Space Executive,,Jakarta,Indonesia,DevOps+Alibaba Cloud+Cloud Computing+Communication+Databases+IT Integration+IT Solutions+Presentation Skills+Software Development+Solution Architecture
Application Development Specialist,Mid-Senior level,Accenture Southeast Asia,Semarang,Central Java,Indonesia,ABAP+Application Development+Data Interfaces+Debugging+Development Tools+Legacy System Migration Workbench (LSMW)+SAP Products+SAP Script+Technical Specs
Cybersecurity Sales Specialist,Entry level,NTT Ltd.,Jakarta,Jakarta,Indonesia,C-Level+Customer Engagement+Customer-Focused Selling+Gap Analysis+Negotiation+Sales Presentations+Sales Processes+Solution Selling
Training Manager,Mid-Senior level,Marriott Hotels,Batam Centre,Riau,Indonesia,Customer Service+Development Programs+Guest Relations+Guest Satisfaction+Human Resources (HR)+Training+Training Courses+Training Management
Technical Product Manager – ML (Bangkok based, relocation provided),Director,Agoda,,Jakarta Metropolitan Area,,Communication+Concept to Launch+Creative Ideation+Data Analytics+Data Science+Organization Skills+Presentations+Product Management+Product Requirements+Team Alignment
Teacher (Coding Educator),Full-time,BrightCHAMPS,Yogyakarta,Yogyakarta,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Solutions Architect,Entry level,Astra Financial,,Jakarta,Indonesia,Ansible+Application Architecture+Continuous Integration (CI)+Git+IT Integration+Jenkins+Jira+Solution Architecture+Technical Architecture+Terraform
Solution Architect (Indonesia),Mid-Senior level,Xtremax,Bandung,East Java,Indonesia,Architecture+Cloud Development+Communication+Computer Engineering+Database Servers+Microsoft SQL Server+Model-View-Presenter (MVP)+MySQL+Oracle Database+SQL
TikTok E-commerce - Global Trainer,,TikTok,Jakarta,Jakarta,Indonesia,Booklets+Customer Satisfaction+Daily Reports+Development Programs+Facilitation+Interpersonal Communication+Product Knowledge+Technical Specs+Training Delivery+Training Plans
Routing Specialist - Jakarta,,8x8,,Jakarta Metropolitan Area,,Analytical Skills+Carrier Relationships+Communication+Doer+English+IT Escalation+Interpersonal Skills+Operations Processes+Problem Solving+SMS
Senior Product Manager - Sanctions Platform,Mid-Senior level,Gojek,Jakarta,Jakarta,Indonesia,Analytical Skills+Change Impact Analysis+Communication+Customer Satisfaction+Product Management+Product Requirement Definition+Product Road Mapping+Product Strategy+Quantitative Analytics+User Experience (UX)
Teacher (Coding Educator),Full-time,BrightCHAMPS,Bandung,East Java,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Human Resources Specialist,,PT. SURYA WIRA MANDIRI,Jakarta,Jakarta,Indonesia,Business Administration+Counseling+Employee Benefits+Equal Employment Opportunity (EEO)+Human Resources (HR)+Human Resources Information Systems (HRIS)+Interpersonal Skills+PHR+Performance Management+Training and Development (HR)
Solutions Architect (Big Data & AI),Mid-Senior level,Alibaba Cloud,,Jakarta,Indonesia,Alibaba Cloud+Cloud Computing+Cloud Security+Enterprise Security+IT Risk Management+Information Security+Information Security Consulting+Regulatory Compliance+Risk Management Framework+Security Compliance
Teacher (Coding Educator),Full-time,BrightCHAMPS,Surabaya,East Java,Indonesia,Broadband Access+Cameras+Coaching+Communication+Curriculum Development+Mathematics+Teaching
Part-time Montessori Teacher BATAM area,,Kid's Club Indonesia,Batam,Riau Islands,Indonesia,Analytical Skills+D3.js+Negotiation+Non-Governmental Organizations (NGOs)+Teacher Training+Teaching
Product Manager - Kredivo,Mid-Senior level,FinAccel,,Jakarta,Indonesia,Communication+Data Analytics+Key Metrics+Make Things Happen+Problem Solving+Product Development+Product Management+Product Requirements+User Experience (UX)+User Research
